model_a,model_b,score,same_family
mistral,mpt,0.19196058033267338,False
cohere,cohere-chat,0.16676268747578726,True
gpt2,mpt,0.11992656501477672,False
gpt2,mistral,0.08793805173115518,False
human,cohere,0.08418593216087497,False
mistral-chat,mpt-chat,0.07610993657505286,False
mpt-chat,cohere-chat,0.05142817402915322,False
gpt3,cohere-chat,0.04821760866546313,False
gpt3,cohere,0.04688121655027759,False
human,cohere-chat,0.040535323300351984,False
llama-chat,mistral-chat,0.03726215644820296,False
mistral-chat,cohere-chat,0.031366974518749306,False
chatgpt,mpt-chat,0.02846358112470023,False
llama-chat,mpt-chat,0.023520084566596194,False
gpt3,mpt-chat,0.022709701171994848,False
chatgpt,mistral-chat,0.019219933047747294,False
gpt3,mistral,0.01902598037162681,False
gpt3,mistral-chat,0.018221702823163214,False
chatgpt,gpt4,0.017817528554083823,True
human,gpt3,0.01740202106093889,False
chatgpt,cohere-chat,0.013405312862428895,False
mpt-chat,cohere,0.01291869246348008,False
llama-chat,cohere-chat,0.012391788138422167,False
mistral-chat,cohere,0.011860220575648645,False
chatgpt,llama-chat,0.011583261049451048,False
gpt4,llama-chat,0.011313826195720755,False
gpt3,mpt,0.011088069750707046,False
gpt4,mpt-chat,0.01054093842356353,False
mistral,mistral-chat,0.007667203597436155,True
mistral,cohere,0.006324170046567523,False
mpt,cohere,0.005539956827463247,False
gpt4,mistral-chat,0.005258016669802862,False
gpt4,cohere-chat,0.0052493799944888404,False
human,gpt4,0.004984436559335445,False
gpt4,cohere,0.004979327354506968,False
llama-chat,cohere,0.004741587246539194,False
mistral,cohere-chat,0.004484823169033696,False
human,mpt-chat,0.003961136772775702,False
gpt3,llama-chat,0.003961130604071023,False
mistral-chat,mpt,0.003699788583509514,False
chatgpt,cohere,0.0036770263366666554,False
human,mistral,0.0029062915318839493,False
chatgpt,gpt3,0.002890192614905852,True
human,chatgpt,0.002363866330487079,False
human,mpt,0.0021092941984598547,False
mistral,mpt-chat,0.001850453594639641,False
mpt,cohere-chat,0.0018443306998998554,False
human,mistral-chat,0.001321353065539112,False
gpt3,gpt2,0.0013206609603661737,True
gpt4,gpt3,0.0013171890756882951,True
llama-chat,mpt,0.0010570824524312897,False
mpt,mpt-chat,0.0010570824524312897,True
human,llama-chat,0.0010551341698701998,False
gpt2,cohere-chat,0.0005305039787798408,False
gpt2,llama-chat,0.0005305039787798408,False
gpt2,mistral-chat,0.0005295226024977428,False
llama-chat,mistral,0.0005291005291005291,False
human,gpt2,0.0005285484612171979,False
gpt4,mpt,0.0005235602094240838,False
gpt2,cohere,0.0002652519893899204,False
chatgpt,gpt2,0.0002652519893899204,True
gpt4,gpt2,0.0002652519893899204,True
chatgpt,mistral,0.00026455026455026457,False
gpt4,mistral,0.0002617801047120419,False
chatgpt,mpt,0.0,False
gpt2,mpt-chat,0.0,False
